Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40012c00,0x40012c08,TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,CR,1,1,Yes,
0x40012c00,0x40012c14,TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,DR,0,1,NO,
0x40012c00,0x40012c1c,TIM1 and TIM8 capture/compare mode register 2 (TIMx_CCMR2),CR,CR,1,1,Yes,
0x40012c00,0x40012c20,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER),CR,CR,1,1,Yes,
0x40012c00,0x40012c28,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,DR,0,1,NO,
0x40012c00,0x40012c2c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,DR,0,1,NO,
0x40012c00,0x40012c30,14.4.13 TIM1 and TIM8 repetition counter register (TIMx_RCR)  ,CR,DR,0,1,NO,
0x40012c00,0x40012c40,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,DR,0,1,Yes,
0x40012c00,0x40012c44,14.4.18 TIM1 and TIM8 break and dead-time register (TIMx_BDTR)   ,CR,DR,0,1,NO,
0x40013800,0x40013800,Status register (USART_SR)  ,SR,SR,1,0,Yes,
0x40013800,0x40013804,Data register (USART_DR)  ,DR,DR,1,1,Yes,
0x40013800,0x40013808,Baud rate register (USART_BRR)  ,CR,DR,0,1,NO,
0x40013800,0x4001380c,Control register 1 (USART_CR1) ,CR,CR,1,1,Yes,
0x40013800,0x40013810,ContentsControl register 2 (USART_CR2) ,CR,CR,1,1,Yes,
0x40013800,0x40013814,27.6.6Control register 3 (USART_CR3) ,CR,CR,1,1,Yes,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40021000,0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
